

========================================
Importieren gestartet am: 2026-02-14 18:21:31
========================================

OK: Patient 'Hafemann, Jürgen' importiert
OK: Patient 'Wendeler, Vanessa' importiert
OK: Patient 'Strack, Inge' importiert
OK: Patient 'Olschewski,  Sandra' importiert
OK: Patient 'Winterhoff, Isabell' importiert
OK: Patient 'Koch , Christel' importiert
OK: Patient 'Hombitzer, Christian' importiert
OK: Patient 'Krause, Nikolay' importiert
OK: Patient 'Schramm, Melanie' importiert
OK: Patient 'Ebner, Emely Celine' importiert
OK: Patient 'Martin, Pia' importiert
OK: Patient 'Hastenrath, Ursula' importiert
OK: Patient 'Alefelder, Christoph KGG' importiert
OK: Patient 'Schell, Ute' importiert
OK: Patient 'Begemann, Michaela' importiert
OK: Patient 'Leienbach, Leslie' importiert
OK: Patient 'Kappes, Christa' importiert
OK: Patient 'Schöneborn, Dietmar' importiert
OK: Patient 'Degenhardt, Sabrina ' importiert
OK: Patient 'Reitz, Gerhard ' importiert
OK: Patient 'Hartig, Bastian' importiert
OK: Patient 'Trikots!!' importiert
OK: Patient 'Kostenzer, David' importiert
OK: Patient 'Dudak, Friedhelm' importiert
OK: Patient 'Trommelschläger, Dorit' importiert
OK: Patient 'Müller, Pia' importiert
OK: Patient 'Mauff, Oli' importiert
OK: Patient 'Verris, Maria' importiert
OK: Patient 'Daniel, Nina' importiert
OK: Patient 'Füchtey, Klaus' importiert
OK: Patient 'Trumpp, Anja' importiert
OK: Patient 'Vigelahn, Cora-Doreen ' importiert
OK: Patient 'Liepold, Hannchen HB' importiert
OK: Patient 'Becker, Lea ' importiert
OK: Patient 'Lormis, Wolfgang' importiert
OK: Patient 'Gartung, Irina' importiert
OK: Patient 'Knelfsen, Viktor Selbstzahler' importiert
OK: Patient 'Brinkmann, Christel HB' importiert
OK: Patient 'Barndt, Inge' importiert
OK: Patient 'Blumberg, Alexandra' importiert
OK: Patient 'Cramer, Heike Selbstzahler' importiert
OK: Patient 'Ader, Christine' importiert
OK: Patient 'Freitag, Beate' importiert
OK: Patient 'Nur 0,5 Std.+ diese KW' importiert
OK: Patient 'schönenborn, Dietmar' importiert
OK: Patient 'Wolfslast, Stefan' importiert
OK: Patient 'Koch, Yannik' importiert
OK: Patient 'Deinert, Lars' importiert
OK: Patient 'Pack, Karl-Otto' importiert
OK: Patient 'Propach, Lore' importiert
OK: Patient 'Aydin, Nevin Selbstzahler' importiert
OK: Patient 'Steier, Albert' importiert
OK: Patient 'Hallwig, Betti' importiert
OK: Patient 'Zimmerann, Stephanie' importiert
OK: Patient 'Peitgen, Ingolf' importiert
OK: Patient 'Mach, Bianca' importiert
OK: Patient 'Kauß, Mika' importiert
OK: Patient 'Schumacher, Monika ' importiert
OK: Patient 'Keding, Barbara' importiert
OK: Patient 'HBW Nümbrecht' importiert
OK: Patient 'Balkhausen, Arne Urlaub' importiert
OK: Patient 'Winkels, Rainer' importiert
OK: Patient 'Rittau, Norbert' importiert
OK: Patient 'Dederichs, Dennis' importiert
OK: Patient 'Kellich, Bastian BPW' importiert
OK: Patient 'Kremer, Yannic' importiert
OK: Patient 'Runkel, Simone' importiert
OK: Patient 'Lauterbach, Mark' importiert
OK: Patient 'Treffen Matthias Born 16:45 Uhr zuhause' importiert
OK: Patient 'Soest-Pogrzeba, Hannelore' importiert
OK: Patient 'Telefon Torben Fr. Schramm' importiert
OK: Patient 'Hartmann, Annemarie' importiert
OK: Patient 'Dross, Sarah' importiert
OK: Patient 'Macht, Sophie' importiert
